,Date,District,Community Area,Time Period,Average Traffic condition_x,SEGMENTID,WEATHER,PER CAPITA INCOME,Day,Crime Rate,dayOfWeek,SPEED,PER CAPITA INCOME 
156,2013-05-05 12:09:00,10,30.0,afternoon,medium,537,Sunny,Low,2013-05-05,0.04232164449818621,weekend,19.226745085900017,10402
157,2013-01-01 09:00:00,10,30.0,morning,medium,537,Sunny,Low,2013-01-01,0.013333333333333334,weekday,19.226745085900017,10402
158,2013-01-06 11:00:00,10,30.0,morning,medium,537,Cloudy,Low,2013-01-06,0.007173601147776184,weekend,19.226745085900017,10402
159,2013-01-08 00:10:00,10,30.0,evening,medium,537,Cloudy,Low,2013-01-08,0.011920529801324504,weekday,19.226745085900017,10402
160,2013-01-08 08:00:00,10,30.0,morning,medium,537,Cloudy,Low,2013-01-08,0.007947019867549669,weekday,19.226745085900017,10402
161,2013-01-11 20:08:00,10,30.0,evening,medium,537,Sunny,Low,2013-01-11,0.01878453038674033,weekday,19.226745085900017,10402
162,2013-01-22 12:15:00,10,30.0,afternoon,medium,537,Cloudy,Low,2013-01-22,0.02170767004341534,weekday,19.226745085900017,10402
163,2013-01-23 16:25:00,10,30.0,afternoon,medium,537,Sunny,Low,2013-01-23,0.038944723618090454,weekday,19.226745085900017,10402
164,2013-02-09 17:40:00,10,30.0,afternoon,medium,537,Cloudy,Low,2013-02-09,0.02,weekend,19.226745085900017,10402
165,2013-02-13 19:19:00,10,30.0,afternoon,medium,537,Cloudy,Low,2013-02-13,0.022144522144522144,weekday,19.226745085900017,10402
166,2013-02-13 19:45:00,10,30.0,afternoon,medium,537,Cloudy,Low,2013-02-13,0.022144522144522144,weekday,19.226745085900017,10402
167,2013-02-15 15:32:00,10,30.0,afternoon,medium,537,Snow,Low,2013-02-15,0.023630504833512353,weekday,19.226745085900017,10402
168,2013-02-15 20:40:00,10,30.0,evening,medium,537,Snow,Low,2013-02-15,0.017185821697099892,weekday,19.226745085900017,10402
169,2013-02-16 19:00:00,10,30.0,afternoon,medium,537,Snow,Low,2013-02-16,0.020289855072463767,weekend,19.226745085900017,10402
170,2013-02-19 20:50:00,10,30.0,evening,medium,537,Cloudy,Low,2013-02-19,0.008021390374331552,weekday,19.226745085900017,10402
171,2013-02-23 08:05:00,10,30.0,morning,medium,537,Snow,Low,2013-02-23,0.011477761836441894,weekend,19.226745085900017,10402
172,2013-03-07 20:32:00,10,30.0,evening,medium,537,Sunny,Low,2013-03-07,0.021686746987951807,weekday,19.226745085900017,10402
173,2013-03-07 20:04:00,10,30.0,evening,medium,537,Sunny,Low,2013-03-07,0.021686746987951807,weekday,19.226745085900017,10402
174,2013-03-07 23:24:00,10,30.0,evening,medium,537,Sunny,Low,2013-03-07,0.021686746987951807,weekday,19.226745085900017,10402
175,2013-03-07 23:10:00,10,30.0,evening,medium,537,Sunny,Low,2013-03-07,0.021686746987951807,weekday,19.226745085900017,10402
176,2013-03-07 22:09:00,10,30.0,evening,medium,537,Sunny,Low,2013-03-07,0.021686746987951807,weekday,19.226745085900017,10402
177,2013-03-07 21:30:00,10,30.0,evening,medium,537,Sunny,Low,2013-03-07,0.021686746987951807,weekday,19.226745085900017,10402
178,2013-03-07 21:10:00,10,30.0,evening,medium,537,Sunny,Low,2013-03-07,0.021686746987951807,weekday,19.226745085900017,10402
179,2013-03-07 20:50:00,10,30.0,evening,medium,537,Sunny,Low,2013-03-07,0.021686746987951807,weekday,19.226745085900017,10402
180,2013-03-19 16:30:00,10,30.0,afternoon,medium,537,Snow,Low,2013-03-19,0.01948051948051948,weekday,19.226745085900017,10402
181,2013-03-23 20:58:00,10,30.0,evening,medium,537,Sunny,Low,2013-03-23,0.02053915275994865,weekend,19.226745085900017,10402
182,2013-03-29 23:00:00,10,30.0,evening,medium,537,Sunny,Low,2013-03-29,0.01264367816091954,weekday,19.226745085900017,10402
183,2013-04-10 19:54:00,10,30.0,afternoon,medium,537,Cloudy,Low,2013-04-10,0.03058823529411765,weekday,19.226745085900017,10402
184,2013-04-10 19:25:00,10,30.0,afternoon,medium,537,Cloudy,Low,2013-04-10,0.03058823529411765,weekday,19.226745085900017,10402
185,2013-04-10 21:04:00,10,30.0,evening,medium,537,Cloudy,Low,2013-04-10,0.009411764705882352,weekday,19.226745085900017,10402
